REF NO,DISTRICT,UPAZILA,ORGANIZATION_NAME,EIIN
1,Barguna,Betagi,BIBCHINI NIAMATI UNITED HIGH SCHOOL AND COLLEGE,100256
2,Barguna,Patharghata,KATHALTALI SAPTAGRAM HIGH SCHOOL AND COLLEGE,100310
3,BARISHAL,Bakerganj,KGS SECONDARY SCHOOL AND COLLEGE,100492
4,Bhola,Lalmohan,GAZARIA GIRLS SCHOOL AND COLLEGE,101503
5,Bhola,Lalmohan,KARIMGONJ ISLAMIA ALIM MADRASHA,101530
6,Jhalokati,Jhalokati Sadar,SAYEDA JAMILA KHATUN GIRLS SCHOOLAND COLLEGE,101672
7,Pirojpur,Bhandaria,DHAWA RAJPASHA ADARSHA HS,102606
8,Bandarban,Naikhongchhari,BAISHARI HIGH SCHOOL AND COLLEGE,103129
9,Brahmanbaria,Bijoynagar,ISLAMPUR ALHAJ KAZI RAFIQUL ISLAM SCHOOL AND COLLEGE,103209
10,Brahmanbaria,Nabinagar,NABINAGAR HAZRAT AMENA POURA MOHILA DAKHIL MADRASAR,103434
11,Brahmanbaria,Nasirnagar,MADRASHA E A MERANIA K D S DMADRASHA,103462
12,Chandpur,Chandpur Sadar,BABURHAT HIGH SCHOOL AND COLLEGE,103573
13,Chandpur,Faridganj,MUNSHIRHAT GAND A ALI HIGH SCHOOL,103593
14,Chattogram,Chattogram,HOUSING AND SETTLEMENT PUBLIC SCHOOL,104295
15,Chattogram,Raozan,KADALPUR SCHOOL AND COLLEGE,104868
16,Chattogram,Sitakunda,SADEK MOSTAN HIGH SCHOOL,105093
17,Cumilla,Burichang,SADAKPUR ISLAMIA GIRLS DAKHIL MADRASAH,105324
18,Cumilla,Chandina,KARONKHAL SCHOOL AND COLLEGE,105339
19,Cumilla,Chauddagram,PADUA SUFIA RAHMAN HS,105410
20,Cumilla,Chauddagram,DHARMAPUR NAZIM ALI SCHOOL AND COLLEGE,105412
21,Cumilla,Chauddagram,BAGAIR GIRLS HIGH SCHOOL AND COLLEGE,105516
22,Cumilla,Chauddagram,BIJOYKORA SCHOOL AND COLLEGE,105518
23,Cumilla,Lalmai,HARISHCHAR UNION HIGH SCHOOL AND COLLEGE,105862
24,Coxs Bazar,Coxs Bazar Sadar,UMMEY SALMA R ISLAMIA GIRLS DHAKHIL MADRASHA,106307
25,Feni,Chhagalnaiya,CHANDGAZI HIGH SCHOOL AND COLLEGE,106504
26,Feni,Feni Sadar,BEGUM SAMSUR NAHAR GIRLS SCHOOL AND COLLEGE,106564
27,Feni,Feni Sadar,PANCHGACHIA AZ KHAN MEMORIAL SCHOOL AND COLLEGE,106595
28,Dhaka,Dhanmondi,KALOLI HIGH SCHOOL AND COLLEGE BANGLA VERSION,107963
29,Dhaka,Gulshan,T AND T ADARSHA GIRLS HIGH SCHOOL,108019
30,Dhaka,Gulshan,I P H SCHOOL AND COLLEGE,108023
31,Dhaka,Gulshan,GULSHAN MODEL HIGH SCHOOL AND COLLEGE,108037
32,Dhaka,Uttara,NAWAB HABIBULLAH MODEL SCHOOL AND COLLEGE,108540
33,Gazipur,Sreepur,ABED ALI GIRLS SCHOOL AND COLLEGE,109335
34,Gazipur,Sreepur,PROHLADPUR SCHOO AND COLLEGE,109349
35,Gazipur,Sreepur,HAJI CHOTO KALIM SCHOOL AND COLLEGE,109377
36,Gopalganj,Gopalganj Sadar,SHAHID GOLZAR GIRLS HIGH SCHOOL,109464
37,JAMALPUR,ISLAMPUR,BELGHACHA HIGHER SECONDARY S AND BM COLLEGE,109791
38,JAMALPUR,JAMALPUR SADAR,RAHIMA MOZZAFFAR IDEAL GIRLS SCHOOL AND COLLEGE,109868
39,JAMALPUR,JAMALPUR SADAR,HAZRAT SHAHJAMAL R SCHOOL AND COLLEGE,109938
40,JAMALPUR,MADARGANJ,SHOKNOGORI BOFAT UDDIN TALUKDER HIGH SCHOOL,110029
41,Kishoreganj,Hossainpur,SHAMSUL ISLAM IDEAL GIRLS HIGH SCHOOL,110312
42,Kishoreganj,Kishoreganj Sadar,JIA UDDIN SCHOOL AND COLLEGE,110466
43,Kishoreganj,Kishoreganj Sadar,KHAZA MAINUDDIN CHISTI DARUL ULUM DAKHIL MADRASHA,110471
44,Madaripur,Madaripur Sadar,ASMOT ALI KHAN PUBLIC SCHOOL ANDCOLLEGE,110724
45,Manikganj,Daulatpur,CHAKMIRPUR HIGH SCHOOL,110895
46,Manikganj,Harirampur,JHITKA PILOT GIRLS HIGH SCHOOL,110938
47,MYMENSINGH,NANDAIL,JOHURA KHATUN GIRLS HIGH SCHOOL,112033
48,MYMENSINGH,TRISHAL,ISLAMI ACADEMY SCHOOL AND COLLEGE TRISHAL,112197
49,Narayanganj,Araihazar,KALAGACHIA R F UB,112301
50,Narayanganj,Araihazar,UZAN GOBINDI BINAIRCHAR UB,112302
51,NETROKONA,KHALIAJURI,ABDUL JABBAR RABEYA KHATUN GIRLS SCHOOL AND COLLEGE,112984
52,Rajbari,Rajbari Sadar,BELGACHI GIRLS HIGH SCHOOL,113425
53,Rajbari,Rajbari Sadar,SHEREBANGLA GIRLS HIGH SCHOOL,113434
54,Rajbari,Rajbari Sadar,KHANKHANAPUR TAMIZUDDIN KHAN GIRLS HIGH SCHOOL,113438
55,Rajbari,Rajbari Sadar,BARAT GIRLS HIGH SCHOOL,113448
56,Shariatpur,Naria,SHARISSOR HIGH SCHOOL AND MOHABIDDOLAYI,113593
57,Shariatpur,Shariatpur Sadar,GANGANAGAR ADARSHA SCHOOL AND COLLEGE,113611
58,Shariatpur,Shariatpur Sadar,CHIKONDI SARAF ALI SCHOLL AND COLLEGE,113617
59,Shariatpur,Shariatpur Sadar,DOMSAR JAGATCHANDRA INSTITUTION AND COLLEGE,113618
60,Shariatpur,Zanjira,DAKSHIN DUBALDIA ABDUR RAZZAK HIGH SCHOOL AND COLLEGE,113661
61,Tangail,Ghatail,SANDHANPUR GANO HIGH SCHOOL AND COLLEGE,114132
62,Tangail,Kalihati,UTTARBEDDOBA FATEMA HALIM HS,114280
63,Tangail,Mirzapur,BANGSHAI SCHOOL AND COLLEGE,114485
64,BAGERHAT,FAKIRHAT,HAZRAT AMIR HAMZA R DAKHIL MADRASHA,114917
65,Jashore,Abhaynagar,MAHAKAL PILOT SCHOOL AND COLLEGE,115550
66,Jashore,Manirampur,DHAKURIA IS DHA MADRASHA,116249
67,Khulna,Batiaghata,KHARABAD BAINTOLA SCHOOL AND COLLEGE,116872
68,Khulna,Dacope,SUJIT KUMAR RAY AND SAVAPATI SUTARKHALI MADHOMIC BID,116880
3540,BOGURA,SHARIAKANDI,MAZEDA RAHMAN SCHOOL AND COLLEGE,119672
70,Dinajpur,Kaharole,BULIA BAZAR GIRLS HIGH SCHOOL,120563
71,Dinajpur,Dinajpur Sadar,RAMDUBI HAT BL HIGH SCHOOL AND COLLEGE,120708
72,Dinajpur,Dinajpur Sadar,CHANDGANJ ASM BL HIGH SCHOOL AND COLLEGE,120733
73,Kurigram,Raumari,KUTIRCHAR SCHOOL AND COLLEGE,122558
74,Naogaon,Badalgachhi,BALUBHARA RB HIGH SCHOO AND COLLEGE,123090
75,Naogaon,Manda,KANCHAN HIGH SCHOOL AND COLLEGE,123227
76,Naogaon,Manda,MANDA THANA ADARSHA GIRLS HIGH SCHOOL AND COLLAGE,123325
77,Natore,Singra,AGPARA SHERKOL BONDOR SCHOOL AND COLLEGE,124247
78,Chapai Nawabganj,Gomastapur,ROHANPUR RABEYA GIRLS HIGH SCHOOL,124352
79,Chapai Nawabganj,Gomastapur,ALINAGAR GRILS HIGH SCHOOL,124378
80,Chapai Nawabganj,Gomastapur,BANGABARI YOUNUS SORONI SCHOOL AND COLLEGE,124424
81,Nilphamari,Dimla,TITPARA BARO JUMMA D SALAM DM,124821
82,Nilphamari,Domar,SHALMARA BASIRON NESA SCHOOL AND COLLEGE,124836
83,Nilphamari,Jaldhaka,RASHIDPUR GIRLS SCHOOL AND COLLEGE,124932
84,Pabna,Chatmohar,FOILJANA HIGH SCHOOL,125378
85,Pabna,Chatmohar,HARIPUR DURAGADAS HIGH SCHOOL AND COLLEGE,125456
86,Panchagarh,Atwari,ALOWA KHOA S C SCHOOL AND COLLEGE,125800
87,Panchagarh,Boda,BODA PILOT GIRLS SCHOOL ANDCOLLEGE,125877
88,Panchagarh,Tentulia,KAZI SHAHABUDDIN GIRLS SCHOOL AND COLLEGE,126195
89,Rajshahi,Baghmara,BIRKUTSHA ABINASH SCHOOL AND COLLEGE,126438
90,Rajshahi,Paba,NAOHATA ANJUMANATAWHID DMAD,126903
91,Sirajganj,Belkuchi,BANIAGANTI SN ACADEMY SCHOOL AND COLLEGE,128029
92,Sirajganj,Tarash,BISHAMDANGA GIRLS SCHOOL AND COLLEGE,128488
93,Sirajganj,Ullah Para,H T IMAM GIRLS SCHOOL AND COLLEGE,128683
94,Thakurgaon,Baliadangi,MOROL HAT JANATA SCHOOL AND COLLAGE,128700
95,Thakurgaon,Pirganj,MOHESPUR DARUL HUDA ISLAMIA DMAD,128951
96,Habiganj,Ajmiriganj,HAZI ABDUL HAKIM BHUIYANHIGH SCHOOL AND COLLEGE,129319
97,Habiganj,Bahubal,SADRUL HOSSAIN GIRLS HIGH SCHOOL BABUBAL,129330
98,Habiganj,Chunarughat,MASUD CHOWDHURY NHIGH SCHOOL AND COLLEGE,129384
99,Habiganj,Nabiganj,SNP HIGH SCHOOL AND COLLEGE,129501
100,Maulvibazar,Borolekha,EIDGHA BAZAR GIRLHIGH SCHOOL,129533
101,Maulvibazar,Borolekha,GANGKUL PANCHGRAM ADRASHA HIGH SCHOOL,129539
102,Maulvibazar,Kamalganj,PATAN USHER HIGH SCHOOL AND COLLEGE,129594
103,Maulvibazar,Sreemangal,HAZI ABDUL GOFUR SCHOOL AND COLLEGE,129767
104,Sunamganj,Sulla,SAWDHERSREE HIGH SCHOOL AND COLLEGE,129998
105,Sunamganj,Sunamganj Sadar,SURMA HIGH SCHOOL S AND COLLEGE,130012
106,Sunamganj,Tahirpur,TAKERGHAT CHUNAPATHAR KHONI SECONDARY SCHOOL AND COLLEGE,130063
107,Sylhet,Bishwanath,DEOKALASH BL HIGH SCHOOL AND COLLEGE,130175
108,Sylhet,Bishwanath,RAGIBRABEYA HIGH SCHOOL AND COLLEGE,130176
109,Sylhet,Bishwanath,HAZRAT SHAHJALAL HIGH SCHOOL,130201
110,Sylhet,Companiganj,SHAHID SMRITY TUKERBAZAR HIGH SCHOOL AND COLLEGE,130223
111,Sylhet,Companiganj,PARUA ANWARA HIGH SCHOOL AND COLLEGE,130236
112,Sylhet,Jaintiapur,RANGPANI CAPTAIN RASHID SCHOOL AND COLLEGE,130344
113,Sylhet,Kanaighat,DURGAPUR HIGH SCHOOL AND COLLEGE,130360
114,Sylhet,Kanaighat,JHINGABARI HIGH SCHOOL AND COLLEGE,130364
115,Sylhet,Kanaighat,CHORIPARA HIGH SCHOOL AND COLLEGE,130366
116,Coxs Bazar,Ramu,MONSUR ALI SIKDAR IDEAL SCHOOL AND COLLEGE,131215
117,Chattogram,Fatikchhari,PURBA DHALAI KADIZA MALEK SCHOOL AND COLLEGE,131336
118,Gopalganj,Gopalganj Sadar,JUGOSHIKHA GIRLS HIGH SCHOOL,131455
119,Magura,Mohammadpur,BIREN SIKDAR IDEAL SCHOOL AND COLLEGE,135195
120,Manikganj,Ghior,MUKTIJODDHA DR MD HAIDER ALI MIAH SCHOOL AND COLLEGE,138317
121,Patuakhali,Galachipa,GALACHIPA SECONDARY GIRLS SCHOOL,102223
122,Bandarban,Lama,CHAMBI HIGH SCHOOL AND COLLEGE,103109
123,Chandpur,Faridganj,BORGAON HIGH SCHOOL AC NO ONE HUNDRED ONE,103583
124,Feni,Fulgazi,ALI AZAM HIGH SCHOOL AND COLLEGE,106673
125,Feni,Fulgazi,HASANPURSHAH ALAM CHOWDHURY SCHOOL AND COLLEGE,106674
126,JAMALPUR,BOKSHIGANJ,KAMALER BARTI BANGALPARA KB MODEL SESIP HIGH SCHOOL,109705
127,Lalmonirhat,Aditmari,MOHISKHOCHA ML HIGH SCHOOL AND COLLEGE,122770
128,Lalmonirhat,Kaligang,LOHAKUCHI SCHOOL AND COLLEGE,122840
129,Lalmonirhat,Kaligang,SHIALKHOWA SCHOOL AND COLLEGE,122843
130,Rajshahi,Godagari,SULTANGANJ H S,126704
131,Maulvibazar,Kulaura,ALI AMZAD HIGH SCHOOL AND COLLEGE,129622
132,Maulvibazar,Kulaura,MOHTASIN ALI HIGH SCHOOL AND COLLEGE,129646
133,Sylhet,Golapganj,DHAKADAKSHIN BOHUMUKHI HIGH SCHOOL AND COLLEGE SADHARON TOHBIL,130302
134,BARISHAL,Gaurnadi,NATHOI RIZIA SECONDARY SCHOOL,100681
135,Patuakhali,Patuakhali Sadar,HAZIKHALI MUHAMMADIA ALIM MADRASAH,102536
136,Bandarban,Naikhongchhari,BAISHARI SHAH NURUDDIN DAKHIL MADRSAH,103134
137,Chandpur,Kachua,KHAJURIA LAKSHMIPUR PEER SOBHANIA HIGH SCHOOL,103785
138,Khagrachhari,Dighinala,HUCHINPUR HIGH SCHOOL,106755
139,Dhaka,Dhamrai,AFAZUDDIN HIGH SCHOOL,107959
140,Dhaka,Savar,SHUKURJANZINNAT ALI ADARSHAW UCCHA BIDDALAYA,108404
141,Dhaka,Savar,GAZIRCHAT MADINATUL ULUM ALIM MADRASAH,108437
142,Gazipur,Kaliganj,NOAPARA MOYAJ UDDIN ADORSA HIGH SCHOOL,109118
143,Kishoreganj,Itna,CHOUGANGA PURAN BAZAR FAZIL MADRASHA,110338
144,Kishoreganj,Kishoreganj Sadar,JASDOL HIGH SCHOOL,110437
145,MYMENSINGH,MYMENSINGH SADAR,CHAR SHIRKALDI SAHEBIA DAKHIL MADRASAH,111899
146,Rajbari,Kalukhali,AKHARJANI HIGH SCHOOL,113343
147,Satkhira,Satkhira Sadar,GHONA UNIOUN SECONDARY SCHOOL,118818
148,Chapai Nawabganj,Chapai Nawabganj Sadar,CHORMOHONPUR HIGH SCHOOL,124556
149,Maulvibazar,Rajnagar,BERKURI GIGH SCHOOL,134812
150,Sylhet,Companiganj,VHATRAI HIGH SCHOLL AND COLLEGE,130221
151,Noakhali,Hatiya,TAMORADDI SCHOOL AND COLLEGE,107424
152,Sirajganj,Chauhali,BETIL ML HIGH SCHOOL AND COLLAEGE,128036
153,Sylhet,Balaganj,DEWAN ABDUR RAHIM HIGH SCHOOL AND COLLEGE,130090
154,Coxs Bazar,Kutubdia,KUTUBDIA MODEL HIGH SCHOOL,106318
155,Noakhali,Hatiya,AAMHIGH SCHOOL,107431
156,Noakhali,Hatiya,BOALIA HIGH SCHOOL JENAREL FOUND,107432
157,Noakhali,Hatiya,MCS HIGH SCHOOL,107433
158,Noakhali,Hatiya,SUKCHAR AZHARUL ULUM FAZIL MADRASHA,107454
159,Noakhali,Hatiya,CHARKING MOHAMMAD DAKHIL MADRASAH,107455
160,Gazipur,Kaliganj,DAKKHINBAG DARUSSALAM DAKHIL MADRASAH,109153
161,Narsingdi,Roypura,CHARSUBUDDI JUNIORHIGH SCHOOL,112777
162,Tangail,Gopalpur,JHAWAIL MAHARANI HEMANTA KUMAR HIGH SCHOOL,114212
163,Chuadanga,Alamdanga,BORAGANGNI NASRUL ULUM SDMADRASAH,115323
164,Sirajganj,Chauhali,SODEWANTALASHANKARHATI HIG SCHOOL,128032
165,Sirajganj,Chauhali,KHASH KAWLIA GIRLS HIGH SCHOOL,128037
166,Sirajganj,Chauhali,ENAYETPUR ISLAMIA FAZIL SENIOR MADRASHA,128056
167,Sylhet,Dakshin Surma,NABARUN HIGH SCHOOL AND COLLEGE,130481
168,Dhaka,Dhanmondi,JIGATOLA HIGH SCHOOL,134432
169,BARISHAL,Muladi,CHARKALEKHAN IDEAL SECONDARY SCHOOL,100969
170,Patuakhali,Bauphal,MDDHABPUR NISHI KANTA HIGH SCHOOL,101992
171,Patuakhali,Galachipa,CHARGONGA IDEAL HIGH SCHOOL,102218
172,Patuakhali,Galachipa,BARO BAISHDIA A HAKIM SECONDARY SCHOOL,102228
173,Patuakhali,Galachipa,AMKHOLA HAT SECONDARY SCHOOL,102230
174,Patuakhali,Galachipa,PATABUNIA SECONDARY SCHOOL,102237
175,Patuakhali,Galachipa,DAKUA SECONDARY SCHOOL,102239
176,Patuakhali,Galachipa,PANPATTY SECONDARY SCHOOL,102242
177,Patuakhali,Galachipa,CHALITABUNIA MAMTAJ UDDIN SECONDARY SCHOOL,102247
178,Patuakhali,Galachipa,RATANDI TALTALI SECONDARY SCHOOL,102250
179,Patuakhali,Galachipa,RANGABALI SALEHA HIGH SCHOOL,102255
180,Patuakhali,Galachipa,CHARMONTAZ ABDUL SATTER SECONDARY SCHOOL,102256
181,Patuakhali,Galachipa,TUNGIBARIA SECONDARY SCHOOL,102263
182,Patuakhali,Galachipa,CHHONKHOLA PATABUNIA S P JR HIGH SCHOOL,102269
183,Patuakhali,Galachipa,CHALITABUNIA NESARIA FAZIL MADRASAH,102277
184,Patuakhali,Galachipa,CHHOTOBAISADIA DAKHIL MADRASAH,102283
185,Patuakhali,Galachipa,RANGABALI NESARIA DAKHIL MADRASHA,102284
186,Patuakhali,Galachipa,CHARMONTAZ SIDDIKIA DAKHIL MADRASHA,102287
187,Patuakhali,Galachipa,NORTH KAZIR HAWLA MOHSENIA DAKHIL MADRASHA,102289
188,Patuakhali,Galachipa,UTTAR PURBA GAZALIA D MADRASHA,102292
189,Patuakhali,Galachipa,GALACHIPA NZ ALIM MADRASHA,102293
190,Patuakhali,Galachipa,SHAZIR HAOLA AKBARIA DAKHIL MADRASHA,102294
191,Patuakhali,Galachipa,AMLIBARIA ISLAMIA ALIM MADRASAH,102298
192,Patuakhali,Galachipa,BARA BANDH WOMEN DAKHIL MADRASHA,102315
193,Patuakhali,Mirzaganj,KATHALTALI SECONDARY SCHOOL,102407
194,Bandarban,Lama,GAZALIA HIGH SCHOOL,103111
195,Bandarban,Lama,LAMA MODEL GIRLS HIGH SCHOOL,103113
196,Bandarban,Lama,YEANGCHA HIGH SCHOOL,103118
197,Cumilla,Barura,ADDA UMEDIA HIGH SCHOOL,105123
198,Feni,Fulgazi,BONDUA DAULATPUR HIGH SCHOOL,106644
199,Feni,Fulgazi,ANANDAPUR HIGH SCHOOL,106646
200,Feni,Fulgazi,AZMIRI BEGUM GIRLS HIGH SCHOOL,106652
201,Feni,Fulgazi,NUTAN BAZAR HIGH SCHOOL,106653
202,Feni,Fulgazi,FULGAZI PILOT GIRLS HIGH SCHOOL,106656
203,Feni,Fulgazi,NOWAZ FOYZUNNESA ISLAMIA DHAKIL MADRASHA,106664
204,Feni,Fulgazi,FULGAZIDARUL ULUM DAKHIL MADRASAH,106665
205,Feni,Fulgazi,SOUTH SREEPUR ESKANDARIA SUNNIA ALIM MADRASHA,106669
206,Feni,Fulgazi,RAHATENNESA GIRLS HIGH SCHOOL,106687
207,Lakshmipur,Roypur,KEROA MANSURA HIGH SCHOOL,107005
208,Lakshmipur,Roypur,CHAR ABABILRACHIM UDDIN HIGH SCHOOL,107014
209,Lakshmipur,Roypur,LAMCHARY RN GIRLS HIGH SCHOOL,107016
210,Lakshmipur,Roypur,BAMNI ADARSHA HIGH SCHOOL,107023
211,Lakshmipur,Ramganj,DALTA RAHMANIA HIGH SCHOOL,107051
212,Lakshmipur,Ramganj,KANCHANPUR HIGH SCHOOL,107060
213,Lakshmipur,Ramganj,PANPARA HIGH SCHOOL AND COLLEGE,107065
214,Lakshmipur,Ramganj,TEORI BOHUMUKHI HIGH SCHOOL,107066
215,Lakshmipur,Ramganj,MASHIMPUR ABDUL LATIF MEMORIAL HIGH SCHOOL,107068
216,Lakshmipur,Ramganj,SAUDIRKHIL HIGH SCHOOL,107073
217,Lakshmipur,Ramganj,CHOWMUHANI FAIZ UM ALIM MADRASHAH,107094
218,Lakshmipur,Kamalnagar,HAZIRHAT HAMIDIA FAZIL MADRASAH,107146
219,Noakhali,Hatiya,BURIRCHAR SHEED ALI AHMMAD MEMORIAL HIGH SCHOOL,107425
220,Noakhali,Kabirhat,KARAM BOX ADARSHA HIGH SCHOOL,107526
221,Noakhali,Kabirhat,BANDATTA HIGH SCHOOL,107558
222,Noakhali,Kabirhat,BANGA BUNDHU SHEIKH MUJIBUR RAHMAN HS,107592
223,Noakhali,Kabirhat,JANATA BAZAR HIGH SCHOOL,107600
224,Noakhali,Kabirhat,SONKHOLA ALAMIA ISLAMIA ALIM MADRASAH,107607
225,Rangamati,Baghaichhari,SIJOK MUK HIGH SCHOOL,107668
226,Dhaka,Shyampur,PURBO KADAMTALI ISLAMIA ALIM MADRASH,107907
227,Faridpur,Boalmari,KADIRDI DIMUKHI HIGH SCHOOL,108670
228,Faridpur,Boalmari,KHARSUTI CHANDRO KISHORE BOHUMUKHI HIGH SCHOOL,108672
229,Faridpur,Boalmari,RANGAMULARKANDI HAZI ABDULLAH ACADEMY,108676
230,Faridpur,Boalmari,SAHASRAIL PUBLIC PILOT HIGH SCHOOL,108678
231,Faridpur,Boalmari,SATAIR JAMEYA ISLAMIYA DARUS SUNNAH MADRASHA,108696
232,Faridpur,Boalmari,HATKHOLARCHAR MOHAMMADIA DAKHIL MADRASAH,108704
233,Gopalganj,Kashiani,NAEBUNNESSA INSTITUTION,109505
234,JAMALPUR,BOKSHIGANJ,JANKIPUR ADARSHA HIGH SCHOOL,109680
235,JAMALPUR,BOKSHIGANJ,JAGIR PARA HIGH SCHOOL,109682
236,JAMALPUR,BOKSHIGANJ,BAKSIGONJ NM HIGH SCHOOL,109686
237,JAMALPUR,BOKSHIGANJ,DHANUAKAMALPUR COOPERATIVE HIGH SCHOOL,109687
238,JAMALPUR,BOKSHIGANJ,ALIRPARA MUMULT HIGH SCHOOL,109688
239,JAMALPUR,BOKSHIGANJ,BATTAJORE NAGAR MAMUD HIGH SCHOOL,109689
240,JAMALPUR,BOKSHIGANJ,SHADHUR PARA NAZRUL ISLAM HIGH SCHOOL,109691
241,JAMALPUR,BOKSHIGANJ,BOGAR CHAR ADARSHA GIRLS HIGH SCHOOL,109692
242,JAMALPUR,BOKSHIGANJ,HASINA GAZI GIRLS HIGH SCHOOL,109696
243,JAMALPUR,BOKSHIGANJ,KHAWERCHAR HIGH SCHOOL,109697
244,JAMALPUR,BOKSHIGANJ,RAHILA KADIR SCHOOL AND COLLEGE,109699
245,JAMALPUR,BOKSHIGANJ,AYERMARY HIGH SCHOOL,109703
246,JAMALPUR,BOKSHIGANJ,MALIRCHAR ZIGATOLA MAHBUBA ISLAM HIGH SCHOOL,109704
247,JAMALPUR,BOKSHIGANJ,BATTAJOR K R I FAZIL MADRASAH,109707
248,JAMALPUR,BOKSHIGANJ,BAKSHIGANJ KHAIRUDDIN ALIM MADRASAH,109710
249,JAMALPUR,BOKSHIGANJ,TANGARI PARA AYESHA KHATUN DAKHIL MADRASAH,109711
250,JAMALPUR,BOKSHIGANJ,KALKIHARA DAKHIL MADRASAH,109712
251,JAMALPUR,BOKSHIGANJ,SAHDUR PARA ALHAJ KASARUDDIN DAKHIL MADRASAH,109713
252,JAMALPUR,BOKSHIGANJ,DATTER CHAR PURAN BATTAJOR MIR KAMAL HOSSAIN DAKHIL MADRASAH,109716
253,JAMALPUR,BOKSHIGANJ,AYER MARY ISLAMIA MAHILA DAKHIL MADSASAH,109720
254,Munshiganj,Serajdikhan,SHEIKH MD MIAR HOSSAIN HIGH SCHOOL,111165
255,Munshiganj,Serajdikhan,RAJDIA ABDUL JABBAR PIILOT GIRLS SCHOOL,111180
256,Munshiganj,Serajdikhan,MALAPDIA HIGH SCHOOL,111181
257,Munshiganj,Serajdikhan,SIRAJDIKHAN HIGH SCHOOL,111182
258,MYMENSINGH,GAFARGAON,PANCHUA RABEA HIGH SCHOOL,111534
259,MYMENSINGH,GAFARGAON,RASULPUR GIRLS DAKHIL MADRASHA,111623
260,MYMENSINGH,GOURIPUR,LAMAPARA ADARSHA HIGH SCHOOL,111697
261,Narayanganj,Narayanganj Sadar,MIZMIZI PASCHIMPARA HIGH SCHOOL,112412
262,Narayanganj,Narayanganj Sadar,JOYGOBINDA HIGH SCHOOL,112417
263,Narayanganj,Narayanganj Sadar,MW HIGH SCHOOL,112436
264,Narayanganj,Narayanganj Sadar,DELPARA ISLAMIA ALIM MADRASAH,112461
265,Narayanganj,Narayanganj Sadar,MUNSHIBAGH DARUL QUARAR ISLAMIA ALIM MADRASHA,112466
266,Narayanganj,Narayanganj Sadar,BHUIGHAR DARUSSANAT ISL D MAD,112472
267,Narayanganj,Narayanganj Sadar,ROWJATUS SALEHIN ALIM MADRASA,112474
268,Narsingdi,Roypura,RM HIGH SCHOOL,112780
269,Narsingdi,Roypura,SHERCHAR HIGH SCHOOL,112781
270,NETROKONA,ATPARA,SWARMOSHIA FAZIL MADRASAH,112909
271,NETROKONA,MOHONGONJ,SHAHID SMRITY HIGH SCHOOL,113111
272,NETROKONA,MOHONGONJ,SHYAMPUR UNION HIGH SCHOOL,113112
273,NETROKONA,MOHONGONJ,MAGHAN HIGH SCHOOL,113114
274,NETROKONA,MOHONGONJ,KHANBAHADUR KABIR UDDIN KHAN HIGH SCHOOL,113115
275,NETROKONA,MOHONGONJ,MOHANGONJ PUBLIC HIGH SCHOOL,113116
276,Rajbari,Kalukhali,HOGLADANGI MOHAMMODIA ISLAMIA KAMIL MADRASA,113392
277,Shariatpur,Bhedarganj,CHARBHOIRA HIGH SCHOOL,113495
278,Shariatpur,Bhedarganj,RAMVADRAPUR REBOTI MOHON HIGH SCHOOL,113501
279,Shariatpur,Bhedarganj,RAMBHADRAPUR KAZI ISMAILIA ALIM MADRASHA,113524
280,Tangail,Gopalpur,JANATA ML HIGH SCHOOL,114203
281,Tangail,Gopalpur,DOPAKANDI ADARSHA GIRLS HIGH SCHOOL,114207
282,Tangail,Gopalpur,SUTI HOSSAIN SHAHID SOHRAWARDY HIGH SCHOOL,114210
283,Tangail,Gopalpur,BHENGULA BAHUMUKHI HIGH SCHOOL,114221
284,Tangail,Gopalpur,SIMLA JAMIRUNESSA HIGH SCHOOL,114226
285,Tangail,Gopalpur,DUBAIL IDAL PIBLIC HIGH SCHOOL,114233
286,Tangail,Gopalpur,SUNDOR HIGH SCHOOL,114235
287,Tangail,Gopalpur,AMMUZIBUL RAHMAN HIGH SCHOOL,114238
288,Tangail,Gopalpur,KHANDAKAR ABDUL MANNAN MEMORIAL HIGH SCHOO,114246
289,Tangail,Gopalpur,CHANPUR DEYANATIA A D MADRASHA,114254
290,Tangail,Gopalpur,SAKHARAIA ISLAMIA DAKHIL MADRASAH,114257
291,Tangail,Kalihati,KOKDAHARA HIGH SCHOOL,114287
292,Tangail,Tangail Sadar,TANGAIL GIRLS HIGH SCHOOL,114683
293,Tangail,Tangail Sadar,BAGBARI CHOWBARIA HIGH SCHOOL,114699
294,Tangail,Tangail Sadar,DIGHULIA SHAHID MIZANUR RAHMAN HIGH SCHOOL,114701
295,Tangail,Tangail Sadar,DAKHIN GOYLA HOSSEN DAKHIL MADRASHA,114730
296,Jhenaidah,Harinakundu,PORAHATI HIGH SCHOOL,116398
297,Jhenaidah,Harinakundu,SONATONPUR HIGH SCHOOL,116404
298,Jhenaidah,Harinakundu,SHISHUKALI MODEL HIGH SCHOOL,116421
299,Khulna,Dumuria,KHARNIA UNION SECONDERY SCHOOL,116979
300,Khulna,Dumuria,MADHUGRAM ISLAMIA ALIM MADRASAH,117029
301,Khulna,Dumuria,BANDA SCHOOL AND COLLEGE,117060
302,Khulna,Paikgachha,AGARGHATA SECONDARY SCHOOL,117245
303,Khulna,Paikgachha,KAPILMUNI SAHACHARI VIDYAMANDIR,117247
