id,eiin,pbgsi_scheme,pbsci_fiscal_year,functional_smc_mmc_gb,meetings_2022,meetings_2023,annual_budget_approved,public_participation,academic_initiatives,responsibilities_completed,functional_pta,pta_meetings_2022,pta_meetings_2023,pta_public_participation,cleanliness_involvement,smag_mmag_gb_discussion,smag_mmag_gb_resolution,sexual_harassment_committee,committee_regular_work,annual_social_audit,audit_observations_displayed,eims_submission_timely,board,ssc_2021_total_students,ssc_2021_passed_students,ssc_board_2021_pass_rate,ssc_2022_total_students,ssc_2022_passed_students,ssc_board_2022_pass_rate,hsc_2021_total_students,hsc_2021_passed_students,hsc_board_2021_pass_rate,hsc_2022_total_students,hsc_2022_passed_students,hsc_board_2022_pass_rate,pass_rate,students_attendance_2022,teachers_attendance_2022,report_card_regularly_stored,report_card_displayed,report_card_not_regularly_stored,separate_washrooms,common_room,first_aid,no_adequate_facilities_washroom,clean_environment,regular_cleaning_plan,student_participation_in_cleaning,cleaning_activities,martyrs_memorial,separate_library,liberation_war_corner,playground,national_anthem_with_parade,indoor_national_anthem,national_days_celebrated,proper_flag_hoisting,cultural_competitions,bncc,scout_girls_guide_rover,sports_competitions,debate_competitions,anti_smoking_campaign,anti_terrorism_campaign,anti_child_marriage_campaign,laboratory,report_card_published_in_web,garden_scope,anti_narcotics_campaign,tree_plantation_campaign,anti_cyber_bullying,was_returned
15883,201553039,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15884,108910,true,2023-2024,true,6,11,true,true,true,true,,,,,,,,true,true,,,true,DHAKA,272,237,93.15,173,136,90.03,,,,,,,,72,98,true,,,true,false,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15885,101030,true,2023-2024,true,6,6,true,true,true,true,,,,,,,,true,true,,,true,BARISHAL,126,118,91.19,87,84,89.13,,,,,,,,80,100,true,,,false,true,true,,true,true,true,,true,true,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15886,127917,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15887,507672013,false,,false,,,false,false,false,false,false,,,false,false,false,false,false,,,false,,,,,0,,,0,,,0,,,0,,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
15888,109838,false,2019-2020,true,6,6,true,true,true,true,false,,,false,false,false,false,true,true,,false,true,DHAKA,27,25,92.59,27,21,77.78,,,0,,,0,,82,100,true,true,false,false,false,false,false,true,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,true,true,true,true,false,false,false,false,false,false,false
15889,126519,true,2022-2023,true,10,12,true,true,true,true,,,,,,,,true,true,,,true,RAJSHAHI,53,52,94.71,34,29,85.88,,,,,,,,78,100,,,true,false,true,true,,true,true,true,,false,true,,true,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
15890,104646,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15891,306864022,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15892,129610,true,2022-2023,true,9,9,true,true,true,true,,,,,,,,true,true,,,true,MADRASAH,63,59,93.65,37,27,72.97,,,,,,,,77,99,true,true,,true,false,true,,true,true,true,,false,false,,false,true,true,true,true,true,false,true,true,true,true,true,true,,,,,,,false
