id,eiin,geographical_position,has_student_toilet,total_toilet_for_boys,total_toilet_for_girls,total_toilet_for_special_needs,has_teacher_toilet,total_toilet_for_male_teachers,total_toilet_for_female_teachers,total_toilet_for_commons,has_wash_block,total_wash_block_for_boys,total_wash_block_for_girls,total_wash_block_for_girls_with_napkin_facility,total_wash_block_for_male_teachers,total_wash_block_for_female_teachers,total_wash_block_for_commons,has_common_room,total_common_room_for_boys,total_common_room_for_girls,has_pta,has_fast_aid_box,conducts_cleaning_program,cleaning_program_number,has_playground,conducts_assembly,celebrates_national_days,has_shahid_minar,conducts_co_curricular_activities,annual_cultural_program,bncc,scout,girls_guide,rover,annual_sports,debate,conducts_awareness_programs,baalyabibaha_rodh,evtijing_protirodh,madok_birodhi_karyakram,sontrash_birodhi_karyakram,jangibad_domon_karyakram,nirapod_shorok_chai_karyakram,community_interaction,acid_nikkhep_protirudh,booling_protirudh,has_boundary_wall,boundary_type,has_safe_water,tubewell,deep_tubewell,supply_water,tap_water,rain_water,purifying_plant,fountain,well,has_ramp_for_disabled,sports_field,garden,open_space,enclosed_with_plants,few_plants,no_plants,pond_or_waterbody,has_electricity,national_grid,generator,solar,has_boundary_marked_wall,has_pond,has_temporary_wall,has_permanent_wall,has_partial_wall,has_natural_wall,was_flooded,flooded_year,days_closed_for_flood
25454,132617,1,true,1,1,0,true,0,0,1,false,,,,,,,true,1,1,false,true,true,3,true,false,true,false,true,true,,true,,,true,true,true,true,true,true,,,,,,,true,,true,true,,,,,,,,false,true,true,true,true,,,true,true,true,,,,,,true,,,false,,
25455,609092024,1,true,1,1,1,true,1,1,0,false,,,,,,,false,,,false,false,true,3,true,,true,false,true,true,,,,,true,,true,true,true,true,,,,,,,false,,true,,true,,,,,,,false,true,,true,true,,,,true,true,,,,,,,,,false,,
25456,104823,2,true,1,1,0,true,0,2,0,true,1,1,0,0,0,0,false,,,true,true,true,12,true,true,true,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,true,,true,false,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,,
25457,110533,4,true,11,10,1,true,3,2,0,true,5,6,0,1,1,2,true,1,1,true,true,true,3,true,true,true,true,true,true,,true,true,,true,true,true,true,true,true,,,true,,true,true,true,,true,true,true,,true,,,,,true,true,true,true,true,,,true,true,true,,true,,,,,true,,false,,
25458,102562,1,true,2,1,0,true,1,0,0,true,1,1,0,1,0,0,true,0,1,true,false,true,4,true,true,true,false,true,true,,,,,,true,true,true,true,true,,,,,true,false,false,,true,false,true,,,,,,,false,true,true,true,,,,true,true,true,,,,,,,,,true,2025,3
25459,105636,1,true,3,3,0,true,3,2,0,false,,,,,,,true,1,1,true,true,true,6,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,,true,,true,true,,true,true,,,,,false,true,true,true,,,,true,true,true,,,true,,,true,false,,false,,
25460,139385,1,true,1,1,0,true,0,0,1,false,,,,,,,true,1,1,false,false,true,12,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,true,true,true,true,true,,true,,true,,,,,,,false,true,,true,,true,,,true,true,,,,,,,true,,true,2022,15
25461,127714,1,true,0,1,0,true,1,1,1,false,,,,,,,true,0,0,true,true,true,6,true,true,true,false,true,false,false,false,false,false,true,true,true,true,false,true,false,false,true,false,false,true,false,,true,true,false,false,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,,
25462,609162233,1,true,13,6,0,true,3,1,0,false,,,,,,,false,,,true,false,false,,true,true,true,false,true,true,,,,,true,true,true,true,true,true,,,,,,,true,,true,true,true,,,,,,,false,true,,true,true,,,true,true,true,,,true,,,true,,,true,2022,15
25463,118984,12,true,1,1,0,true,1,0,0,false,,,,,,,false,,,true,false,true,10,true,true,true,false,true,true,false,false,false,false,true,true,true,true,true,true,false,false,true,false,false,false,false,,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,false,true,2020,7
