id,eiin,institution_type,maximum_level,student_type,approval_status,management_type,mpo_status,has_technical_attachment,technical_type,teaching_medium_bangla,teaching_medium_english,teaching_medium_english_version,teaching_medium_arabic,shifts_operated,has_build_approval,has_teaching_approval,has_full_approval,has_no_approval
1193,136227,1,1,3,,2,2,FALSE,,TRUE,,,,1,TRUE,,,
1194,120513,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1195,115134,4,6,3,,2,1,FALSE,,TRUE,TRUE,FALSE,TRUE,1,FALSE,TRUE,TRUE,FALSE
1196,130431,2,3,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1197,111036,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1198,109497,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1199,117215,4,7,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1200,108386,3,4,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1201,114479,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1202,139018,1,2,2,,2,2,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1203,138416,1,1,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1204,126945,1,2,3,,1,3,TRUE,1,TRUE,,,,1,,,TRUE,
1205,108452,3,4,2,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1206,116540,4,6,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1207,119527,4,6,3,,2,1,FALSE,,TRUE,TRUE,,TRUE,1,TRUE,TRUE,TRUE,
1208,101449,2,3,3,,2,1,FALSE,,TRUE,,,,1,FALSE,FALSE,TRUE,
1209,108717,1,2,2,,1,3,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1210,136893,3,3,3,,2,2,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1211,108752,1,3,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
1212,111021,6,6,3,,2,1,TRUE,4,TRUE,,,,1,,,TRUE,
1213,114422,4,8,3,,2,1,FALSE,,TRUE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,FALSE
1214,118960,4,7,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1215,130439,4,9,3,,1,3,FALSE,,TRUE,FALSE,,TRUE,1,TRUE,,TRUE,
1216,120505,2,3,3,,2,1,FALSE,,TRUE,FALSE,FALSE,,1,,TRUE,,
1217,108662,1,2,2,,5,1,TRUE,1,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1218,116640,1,2,3,,2,1,FALSE,,TRUE,,,,1,,TRUE,TRUE,
1219,129961,1,2,3,,2,2,FALSE,,TRUE,,,,1,,,TRUE,
1220,105058,3,4,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1221,123660,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1222,131349,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1223,129799,4,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,FALSE
1224,113985,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1225,110664,1,2,3,,2,1,FALSE,,TRUE,,,,1,,,TRUE,
1226,101599,1,2,3,,2,1,FALSE,,TRUE,,,,1,TRUE,TRUE,TRUE,
1227,115445,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE
1228,108748,1,2,3,,2,1,FALSE,,TRUE,FALSE,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE
1229,136530,3,3,2,,2,2,FALSE,,TRUE,,,,1,,,TRUE,
