id,eiin,building_no,building_name,foundation_floor_count,year_built,total_floor_count,total_room_count,vertical_expansion_possible,type,condition
199822,552760004,1,administrative building,1,2019,1,2,false,2,1
199823,552760004,2,academic building,1,2019,1,8,false,2,1
199824,552760004,3,academic building 2,3,2019,2,6,true,1,1
199826,112425,1,1,3,1967,3,4,false,1,1
199827,112425,2,2,3,1967,3,31,false,1,1
199828,112425,3,3,3,1999,3,9,false,1,1
199829,112425,4,4,10,2025,0,50,false,1,3
199830,139335,1,MAIN BUILDING,6,2010,6,17,false,1,1
199832,552760015,1,administrative building,1,2016,1,1,false,2,1
199833,552760015,2,academic building 1,3,2016,3,14,true,1,1
199834,552760015,3,academic building 2,1,2016,1,12,false,2,1
199835,552760015,4,academic building 3,1,2016,1,14,false,2,1
199836,552760015,5,academic building 4,3,2016,3,11,false,1,1
199843,106190,1,ACADEMIC BUILDING 1,2,2005,2,5,false,1,1
199844,106190,2,ACADEMIC BUILDING 2,2,1998,2,3,false,1,1
199845,404730004,1,Vobon--1,3,2007,2,5,true,1,1
199846,404730004,2,Vobon--2,1,2007,1,3,false,1,1
199847,112430,1,1,1,2002,1,4,false,2,1
