id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
16959,114376,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16960,121372,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16961,302640013,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16962,122379,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16963,111411,true,true,true,true,true,false,true,25,22,43,17,20,true,false,true,true,165,163,81,78,216,214,66,63,55,50,true,true,false,true,true,false,false,15-01-2024,54,57,51,60,48
16964,104618,true,false,true,true,true,true,true,30,30,30,30,20,false,true,true,true,20,16,20,17,20,16,20,16,16,16,true,true,true,true,,,,01-01-2018,20,20,20,20,16
16965,106617,true,false,true,true,true,true,true,55,50,45,40,30,false,false,true,true,20,15,25,20,18,15,15,10,10,9,true,true,false,,,,,01-01-2023,50,45,40,35,30
16966,101667,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16967,110195,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16968,dd6cb3d8-55e1-47c4-92cf-65721da2e663,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16969,101960,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
16970,123590,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16971,115205,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16972,126687,true,false,true,true,true,true,true,60,50,45,40,25,true,true,true,true,60,60,50,50,45,45,40,40,25,25,true,true,true,true,,,,11-01-2024,18,19,17,18,16
16973,201931025,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16974,609160012,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16975,119690,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16976,102347,true,true,true,false,false,false,false,30,35,40,40,35,false,true,true,true,40,20,40,15,40,13,40,15,40,18,true,true,true,true,true,,,05-04-2025,70,70,70,70,70
16977,128869,true,true,true,true,true,true,true,23,20,25,20,20,false,true,true,true,23,18,20,15,25,5,20,15,20,13,true,true,true,false,false,false,true,04-12-2023,23,20,25,20,20
16978,106523,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16979,135200,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16980,113955,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16981,110731,true,true,true,true,true,true,true,40,45,40,42,35,false,false,true,true,40,38,45,40,40,37,42,38,35,32,true,true,false,,,,,26-12-2023,54,57,51,49,44
16982,106355,true,true,true,true,true,false,true,45,45,40,38,36,true,true,true,true,45,45,45,45,52,52,54,54,48,4,true,true,true,true,false,false,false,31-12-2023,54,57,52,54,48
16983,138596,true,true,true,true,false,true,true,44,44,43,0,0,false,true,true,true,120,100,120,110,120,120,0,0,0,0,true,true,true,false,true,false,false,28-02-2023,120,120,120,0,0
16984,123217,true,true,true,true,true,true,true,30,30,30,25,20,false,true,true,true,696,696,580,580,690,690,480,480,460,460,true,false,true,true,false,false,false,29-08-2017,90,85,70,70,66
16985,102230,true,true,true,true,false,false,true,50,50,50,55,30,false,true,true,true,50,45,50,42,50,40,55,45,30,27,true,true,true,,,,true,24-12-2023,72,64,68,68,68
16986,124634,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
16987,125690,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16988,118598,true,true,true,true,true,true,true,20,25,30,35,30,true,false,true,true,20,8,25,13,30,15,35,20,30,10,true,true,false,,,,,11-01-2018,20,26,30,20,10
16989,106999,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16990,126416,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
16991,137736,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16992,113141,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16993,302650062,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
16994,138114,true,true,true,true,false,false,true,20,20,18,19,16,false,false,true,true,16,16,15,14,14,14,15,14,14,14,true,true,false,false,false,false,false,26-12-2023,36,37,34,36,31
16995,122774,true,true,true,true,true,true,true,36,28,32,25,22,true,true,true,true,28,21,32,25,30,23,24,20,26,18,true,true,true,true,,,,23-10-2023,125,137,122,103,98
16996,130450,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16997,114493,true,true,true,false,true,false,true,55,80,44,20,12,false,false,true,true,43,38,48,27,24,21,18,10,12,10,true,true,false,false,false,false,false,01-03-2024,54,54,51,54,48
16998,609162281,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16999,120043,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17000,116063,true,true,true,true,true,true,true,21,20,28,12,15,true,true,true,true,17,17,14,14,12,12,12,12,12,12,true,false,true,true,,,,11-12-2023,36,38,34,36,32
17001,106709,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17002,6134dc18-33ff-47c6-8f04-232e90e92162,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17003,555239012,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17004,125246,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17005,105435,true,true,true,true,true,false,true,50,30,45,40,25,false,false,true,true,50,38,30,25,45,35,40,37,25,20,true,true,false,false,false,false,false,19-03-2023,15,20,15,12,8
17006,118456,true,true,true,true,true,true,true,62,58,58,60,52,false,true,true,true,54,47,57,47,51,44,54,42,48,43,false,true,true,true,,,,13-12-2023,54,57,51,54,48
17007,103527,true,true,true,true,true,true,true,50,54,57,50,57,true,true,true,true,60,60,65,65,58,58,65,65,60,60,true,false,true,true,,,,03-01-2024,72,72,68,68,60
17008,131730,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17009,120102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17010,136754,true,true,true,true,true,true,true,22,18,17,19,21,true,true,true,true,73,73,61,61,56,56,59,59,35,35,true,true,true,true,,,,23-04-2024,36,38,34,36,32
17011,106357,true,true,true,true,true,false,true,21,24,26,30,13,false,false,true,false,,,,,,,,,,,false,false,false,,,,,31-12-2023,36,36,34,34,30
17012,7f64905d-9fa9-4e5b-9ef8-a55bfd7a0ee5,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17013,134685,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17014,119412,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17015,135112,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17016,120865,true,true,true,true,true,false,true,30,25,25,26,24,true,true,true,true,25,22,28,25,28,18,25,20,22,18,true,true,true,true,true,,,29-06-2023,90,90,90,90,90
17017,134074,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17018,108965,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17019,120783,true,true,true,true,true,true,true,43,34,41,24,24,false,true,true,true,102,82,55,37,70,44,19,4,0,0,true,true,true,false,true,false,false,03-12-2023,36,40,36,32,23
17020,609117080,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17021,139283,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17022,120096,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17023,112163,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17024,111073,true,true,true,true,true,true,true,65,40,40,40,25,true,true,true,true,15,13,30,30,10,8,10,10,5,3,true,true,true,true,,,,28-06-2023,62,62,50,60,54
17025,100822,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17026,112044,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17027,124231,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17028,124429,true,true,true,true,true,true,true,75,70,95,60,70,false,true,true,true,22,22,20,20,25,25,18,18,15,15,true,true,true,true,,,,01-01-2012,25,20,25,20,20
17029,110081,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17030,128801,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17031,103032,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17032,303387011,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17033,132634,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17034,140304,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17035,112811,true,false,true,false,true,true,true,41,40,57,45,47,false,false,true,false,,,,,,,,,,,true,true,false,,,,,03-04-2023,24,28,31,34,28
17036,114320,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17037,112274,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17038,102785,true,true,true,true,true,false,true,12,15,10,12,10,false,true,true,true,10,10,12,10,8,6,10,8,8,6,true,true,true,true,false,false,false,10-03-2024,12,12,20,12,12
17039,128140,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17040,116134,true,true,true,true,true,true,true,40,40,40,40,32,true,false,true,true,36,36,38,38,38,38,35,35,30,30,true,true,false,,,,,10-12-2023,54,54,51,54,54
17041,111369,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17042,101154,true,true,true,true,true,true,true,20,20,20,20,20,false,true,true,true,20,15,20,19,20,18,20,20,20,20,true,true,true,true,,,,03-01-2024,34,34,34,34,34
17043,111932,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17044,112456,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17045,113434,true,true,true,true,true,true,true,42,40,33,40,25,false,false,true,true,33,28,52,49,20,16,44,40,7,5,true,true,false,false,false,false,false,19-03-2023,54,54,51,51,45
17046,120023,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17047,127546,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17048,117832,true,true,true,true,true,true,true,20,20,20,20,6,false,true,true,true,19,19,18,18,15,15,12,12,5,5,true,true,true,true,,,,01-03-2025,20,20,20,20,16
17049,109166,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17050,138804,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17051,135070,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17052,121162,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17053,127825,true,true,true,false,true,false,true,24,44,26,33,38,false,false,false,true,20,5,30,8,23,3,19,4,12,1,true,false,false,,,,,30-05-2023,24,44,26,33,38
17054,122896,true,true,true,true,false,false,true,18,18,17,17,15,true,false,true,true,32,32,25,20,23,22,20,20,22,16,true,true,true,false,false,false,true,22-02-2024,18,18,17,17,15
17055,100860,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17056,123610,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17057,136121,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17058,110549,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17059,123188,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17060,134810,true,true,true,true,true,true,true,20,15,20,30,35,true,false,true,true,20,18,22,20,20,19,30,29,35,28,true,true,false,,,,,21-04-2025,57,41,60,53,104
17061,110263,true,true,true,true,true,true,true,74,69,70,56,27,false,true,true,true,80,74,80,75,72,68,76,70,64,60,false,false,false,,,,,04-12-2023,80,80,72,76,64
17062,104977,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17063,134540,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17064,121924,true,true,true,true,true,true,true,25,35,35,30,25,false,false,true,true,25,25,35,35,35,35,30,30,25,25,true,true,false,,,,,12-01-2023,60,72,56,57,56
17065,110300,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17066,116577,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17067,122735,true,true,true,true,true,false,true,37,37,28,,,true,true,true,true,37,37,37,37,28,28,0,0,0,0,true,true,true,,true,,,03-02-2019,37,37,28,,
17068,125001,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17069,138928,true,true,false,true,true,true,false,30,30,25,25,25,false,false,false,false,,,,,,,,,,,false,false,false,,,,,30-12-2023,64,62,64,55,40
17070,133846,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17071,117967,true,true,true,true,true,false,true,35,30,25,,,false,true,true,true,25,23,20,20,15,13,0,0,0,0,true,true,true,true,,,,12-04-2022,50,45,30,,
17072,609023057,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17073,122168,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17074,302614121,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17075,121195,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17076,121063,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17077,127902,true,true,true,true,true,true,true,18,18,17,18,14,false,false,true,true,12,12,14,14,14,14,15,15,14,14,true,true,true,true,false,false,false,19-01-2024,18,18,17,17,15
17078,117409,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17079,137567,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17080,139233,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17081,139097,true,true,true,true,true,true,true,25,20,20,15,15,false,true,true,true,17,17,17,15,17,17,17,17,16,10,true,true,false,,,,,18-03-2024,30,60,30,30,20
17082,113206,true,true,true,true,false,false,true,89,63,82,57,25,false,true,true,true,85,82,90,88,80,78,55,53,25,24,true,true,true,true,,,true,17-01-2024,90,95,85,90,80
17083,128156,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17084,123871,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17085,122914,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17086,114566,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17087,113858,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17088,125933,true,true,true,true,true,false,true,17,20,18,18,16,false,true,true,true,15,12,14,10,16,13,15,11,16,13,true,false,true,true,false,false,false,21-01-2024,54,54,51,51,45
17089,115032,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17090,306758025,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17091,117842,true,false,true,true,true,true,true,35,30,25,20,12,false,true,true,false,,,,,,,,,,,true,false,true,true,,,,01-06-2014,110,105,100,95,90
17092,114460,true,true,true,true,true,true,true,50,50,50,50,50,false,true,true,true,49,49,49,49,48,48,50,49,49,49,true,true,true,true,false,true,false,01-01-2024,32,72,84,52,62
17093,137030,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17094,453936140,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17095,137904,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17096,113198,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17097,100539,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17098,138314,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17099,101024,true,true,true,true,true,true,true,30,30,30,30,30,false,true,true,true,30,30,30,30,30,30,30,30,30,30,true,true,true,true,,,,02-07-2024,30,30,30,30,30
17100,119036,true,true,true,true,true,false,true,18,18,17,18,14,false,false,true,true,10,10,12,10,15,14,10,10,12,12,true,false,false,,,,,14-12-2023,18,19,17,18,16
17101,101081,true,false,true,true,true,true,true,36,34,36,28,24,false,true,true,true,36,4,32,5,35,6,27,5,20,8,true,true,true,,true,,,04-12-2023,36,38,34,36,32
17102,126590,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17103,100124,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17104,114121,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17105,111563,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17106,139573,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17107,135051,true,true,true,true,true,false,true,10,12,11,10,9,false,true,true,true,10,10,12,12,11,11,10,10,9,9,true,true,true,,,true,,18-03-2024,36,36,34,36,28
17108,114323,true,true,true,false,true,true,true,150,175,185,102,101,true,false,true,true,75,70,100,97,80,78,95,93,70,69,true,false,false,,,,,17-03-2024,120,140,150,100,75
17109,3bf0488a-72e7-4a59-b601-44507aad4d66,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17110,124514,true,true,true,true,true,true,true,184,150,135,122,125,true,true,true,true,184,184,162,162,140,132,117,113,90,81,true,true,true,true,,,,28-12-2023,54,57,51,54,48
17111,137801,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17112,101112,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17113,113342,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17114,101587,true,true,true,true,true,true,true,23,24,23,27,24,true,true,true,true,23,18,24,19,23,19,27,22,24,18,true,true,true,true,,,,31-12-2023,36,36,34,34,30
17115,126157,true,true,true,true,true,true,true,36,38,34,36,32,false,true,true,true,184,184,175,175,170,170,180,180,160,160,true,true,true,true,,,,22-01-2024,36,38,34,36,32
17116,401823037,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17117,125564,true,true,true,true,true,true,true,20,20,20,20,0,false,false,true,false,,,,,,,,,,,true,false,false,,,,,20-04-2024,53,57,51,52,47
17118,119699,true,true,true,true,true,true,true,25,25,20,25,20,false,false,true,true,140,20,150,20,120,18,80,19,108,16,true,true,true,true,,,,12-12-2023,20,20,18,19,16
17119,304833010,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17120,118931,true,true,true,true,true,false,true,33,39,34,34,24,false,true,true,true,33,33,39,39,34,34,34,34,24,24,true,true,true,true,false,false,false,26-12-2023,36,36,34,34,30
17121,554979030,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17122,136085,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17123,121355,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17124,306758026,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17125,109679,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17126,121001,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17127,107107,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17128,130065,true,true,true,true,true,true,true,60,50,80,50,50,true,true,true,true,60,55,50,45,80,55,50,45,50,42,true,true,true,true,,,true,22-03-2018,60,50,80,50,50
17129,133370,true,true,true,true,true,false,true,36,36,34,,,false,false,true,false,,,,,,,,,,,true,false,false,false,false,false,false,19-07-2023,36,36,34,34,30
17130,116007,true,true,true,false,false,false,false,18,18,17,17,15,false,true,true,true,18,18,18,18,17,17,17,17,15,15,true,true,true,true,,,,11-12-2023,18,18,17,17,15
17131,113475,true,true,true,true,true,false,true,25,24,27,26,29,true,false,true,false,,,,,,,,,,,false,true,false,false,false,false,false,17-08-2024,38,40,34,36,32
17132,112995,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17133,115872,true,true,true,true,false,false,true,20,18,14,0,0,true,true,true,true,20,20,18,18,14,12,0,0,0,0,true,true,true,true,false,false,false,20-01-2016,20,18,14,0,0
17134,118825,true,false,true,false,false,false,true,16,35,16,10,0,false,false,false,true,68,64,74,64,30,25,19,14,0,0,false,false,false,false,false,false,false,04-12-2023,17,19,17,18,16
17135,109070,true,false,true,true,true,false,true,54,52,50,48,45,false,true,true,true,54,0,57,0,51,0,54,0,48,0,true,true,true,false,false,true,false,15-11-2023,54,57,51,54,48
17136,120730,true,true,true,true,true,true,true,26,21,32,14,13,false,true,true,true,26,26,21,21,25,23,13,13,10,8,true,true,true,,true,,,30-05-2023,51,51,52,54,54
17137,201967071,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17138,118679,true,true,true,true,true,true,true,25,25,25,30,30,false,true,true,true,325,325,425,425,425,425,330,330,330,330,true,true,true,true,,,,01-06-2019,400,400,400,400,400
17139,453915010,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17140,102383,true,true,true,false,true,true,true,37,37,27,35,31,false,true,true,true,0,0,0,0,0,0,0,0,0,0,true,true,true,true,,,,04-12-2023,36,36,34,34,30
17141,113566,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17142,137638,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17143,136766,false,false,true,true,true,true,true,,,,,,false,false,,,,,,,,,,,,,,,,,,,,05-06-2023,,,,,
17144,111383,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17145,105134,true,true,true,true,true,true,true,22,28,32,17,15,false,true,true,true,21,19,18,15,17,16,19,14,15,12,true,true,true,true,,,,18-08-2015,24,33,27,19,20
17146,117050,true,true,true,true,true,true,true,0,0,0,0,0,true,true,true,true,0,0,0,0,0,0,0,0,0,0,true,true,true,true,true,,,29-11-2023,0,0,0,0,0
17147,609018033,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17148,103949,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17149,108865,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17150,104419,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17151,136752,true,false,true,true,true,true,true,41,12,23,21,17,false,true,true,true,39,39,12,12,22,22,19,19,15,10,true,true,true,true,,,,01-10-2024,0,0,0,20,0
17152,105092,true,true,true,true,true,true,true,46,68,58,66,45,false,true,true,true,30,30,40,40,35,35,48,48,35,35,true,true,false,false,false,false,false,21-01-2024,72,70,68,70,60
17153,118482,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17154,106281,true,true,true,true,true,true,true,30,35,40,30,30,false,true,true,true,25,15,30,18,32,22,20,12,25,15,true,true,true,true,,,,06-02-2024,30,35,40,30,30
17155,123562,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17156,103216,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17157,609162023,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17158,201936031,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17159,139790,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17160,138783,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17161,124437,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17162,113697,true,true,true,true,true,true,true,22,20,23,22,20,false,false,true,true,36,36,38,38,34,34,36,36,32,32,true,true,true,true,,,,13-02-2024,36,38,34,36,32
17163,103416,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17164,102572,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17165,118308,true,true,true,true,true,true,true,46,51,42,40,35,false,true,true,true,25,25,25,25,20,20,15,15,5,5,true,true,true,true,false,false,false,12-12-2023,54,57,51,54,48
17166,116974,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17167,201294004,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
17168,125922,true,true,true,true,true,true,true,25,35,30,30,25,false,true,true,true,55,0,56,0,35,0,53,0,53,0,true,false,true,true,true,false,true,29-02-2024,36,38,34,38,30
17169,126873,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17170,137352,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17171,122044,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17172,128210,true,true,true,true,true,true,true,49,21,11,10,21,true,true,true,true,54,54,57,57,51,51,54,54,48,48,true,true,true,true,false,false,false,04-12-2023,54,57,51,54,48
17173,127868,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17174,101552,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
