id,eiin,strengthening_reading_habits_scheme_available,trained_organizer_available,books_registered,materials_received,book_shelf_available,chairs_and_tables_for_reading,book_supply_register_available,sixth_grade_members_count,seventh_grade_members_count,eighth_grade_members_count,ninth_grade_members_count,tenth_grade_members_count,honorarium_provided,visited_by_assistant_managers,member_register,book_issued,sixth_grade_books_issued_count,sixth_grade_books_received,seventh_grade_books_issued_count,seventh_grade_books_received,eighth_grade_books_issued_count,eighth_grade_books_received,ninth_grade_books_issued_count,ninth_grade_books_received,tenth_grade_books_issued_count,tenth_grade_books_received,manual_distributed,distribution_info_sent,visited,visited_by_monitoring_officer,visited_by_scheme_officer,visited_by_maushi,visited_by_others,books_received_on,sixth_grade_books_provided,seventh_grade_books_provided,eighth_grade_books_provided,ninth_grade_books_provided,tenth_grade_books_provided
1163,118271,true,true,true,true,true,true,true,50,55,50,50,5,false,true,true,true,30,29,25,24,40,40,20,20,20,20,true,true,true,true,false,false,false,11-12-2023,54,57,51,54,48
1164,127012,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,100669013,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,205165008,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,135670,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1168,609018010,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,130633,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,116754,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1171,119491,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,119688,true,true,true,true,true,true,true,20,29,27,17,18,false,false,true,false,,,,,,,,,,,true,true,true,true,false,false,false,14-02-2024,20,29,27,17,18
1173,205158018,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,109536,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
1175,102900,false,false,true,true,true,true,true,165,161,157,159,136,false,true,true,true,165,0,161,0,157,0,159,0,136,0,true,true,true,true,,,,18-08-2022,,,,,
1176,136227,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,120513,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,115134,false,false,false,false,false,false,false,,,,,,false,false,false,false,,,,,,,,,,,false,false,false,false,false,false,false,,,,,,
