id,eiin,new_building_space_available,new_building_space_amount,normal_class_room_count,multimedia_auditorium_room_count,multimedia_class_room_count,multimedia_interactive_class_room_count,headmaster_room_count,office_room_count,science_lab_count,boys_common_room_count,girls_common_room_count,teacher_common_room_count,hostel_count,auditorium_count,educational_materials_room_count,smart_board_tv_room_count,ict_lab_count,library_present,book_count,has_assistant_librarian,has_assistant_library_related_teacher,has_ict_lab,working_desktop_count,working_laptop_count,non_lab_desktop_count,non_lab_laptop_count,has_ict_teacher,ict_teacher_count,has_ict_capable_teacher,internet_used_for_teaching,is_exam_center,public_exam_center,is_registered_in_other_institute,total_registered_in_other_institute,has_internet,broadband,wifi,modem,mobile_hot_spot,total_building_number
38922,557312020,true,15,7,0,0,0,1,1,0,1,0,1,0,0,0,0,0,false,,true,,false,,,0,0,true,1,,false,false,Dimla government Technical College and Dimla High School,true,10,true,,,,true,3
38923,557312002,true,20,11,1,1,0,1,1,1,1,1,0,0,0,0,0,0,true,1000,true,,false,,,0,0,true,2,,true,false,Dimla High School,true,260,true,,true,true,true,3
38924,124756,true,20,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,true,1200,true,,false,,,0,0,true,1,,true,false,adabari school and College Dimla E,false,,true,,true,,,1
38925,140310,true,0.2,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,false,,false,true,false,,,1,1,false,,true,false,false,AMJADIA RAFIQUL ULUM FAZIL DEGREE MADRASAH,false,,true,,,,true,1
38926,554906007,false,,5,0,0,0,1,1,0,0,0,0,1,0,1,0,0,false,,false,false,false,,,0,0,false,,false,true,false,na,false,,true,,,,true,1
38927,e78f57f3-0e14-494b-896d-0d307f0ddc71,true,10,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,1,1,false,1,false,false,false,Bhola Alia Madrasah,false,,true,false,true,false,false,1
38928,0fb9e28a-8f16-40cd-9ccf-b83123f1a6b2,false,,6,0,0,0,1,1,,0,1,0,2,1,0,0,0,true,1000,false,false,false,,,1,0,false,,false,false,false,00,false,,true,true,true,,,1
38929,112700,true,10,16,1,1,0,1,1,1,0,1,0,0,1,0,0,0,true,5200,true,false,true,20,20,0,1,true,1,false,true,true,Paulanpur Islamia Fazil Madrasah,false,,true,false,true,false,false,4
38930,132996,true,30,7,0,0,0,1,1,0,0,1,0,0,0,0,0,0,true,2000,true,,false,,,1,1,false,,true,false,false,MIRZAPUR DEGREE COLLEGE,false,,true,,true,,,3
38931,107889,true,10,26,0,0,0,1,1,1,0,1,1,0,0,1,1,1,true,550,true,false,true,0,16,0,2,true,1,false,true,true,Sheikhdi Abdullah Mollah High School,false,,true,false,true,false,false,2
38932,207507038,true,10,8,0,0,0,1,1,0,0,1,1,,,0,0,0,false,,false,true,false,,,1,0,false,,true,true,false,Mirwarispur madrasah,false,,false,,,,,1
38933,139152,true,45,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,false,,false,true,false,,,0,1,false,,false,false,false,MUNSHIGNAJ HIGH SCHOOL,false,,false,,,,,2
38934,e88bc528-fabf-4ded-869d-723118d70dee,false,,10,0,0,0,1,1,0,1,0,0,0,0,0,0,0,true,500,false,false,false,,,0,1,false,,false,false,false,00,false,,true,true,false,,true,1
38935,106711,true,7,13,0,0,0,1,1,0,0,0,1,0,0,0,0,1,true,2034,true,,true,0,15,1,0,true,1,,true,false,বক্তার মুন্সি মোয়াজ্জেম হোসেন উচ্চ বিদ্যালয়,false,,true,,true,,,2
38936,112082,true,14,11,0,1,0,1,1,1,0,1,1,0,0,1,1,1,true,2000,true,,true,0,7,0,0,true,1,,true,false,BAKSHIMUL G.V HIGH SCHOOL,false,,true,,true,,,6
38937,109360,true,20,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,true,720,true,false,false,,,0,1,true,1,false,true,false,DOLADIA HIGH SCHOOL,false,,true,false,true,false,false,1
38938,900033,false,,14,1,1,1,1,3,3,1,1,1,11,1,1,0,1,true,400,true,,true,10,0,2,2,true,1,,true,false,HEED INTERNATIONAL SCHOOL,false,,true,true,true,,,1
38939,ab3a5276-c04e-455a-9f2b-49b07b0d4401,true,100,11,0,0,0,1,1,0,0,1,0,0,1,1,0,0,false,,false,false,false,,,0,0,false,,true,false,false,AFSER UDDIN FAZIL MADRASA,true,4,false,false,false,false,false,3
38940,109184,true,10,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,true,250,true,,false,,,0,0,true,1,,true,false,Aral GL School and College,false,,true,true,true,,,4
38941,111779,true,5,12,0,1,0,1,1,1,0,1,0,0,0,0,1,1,true,716,true,,true,1,17,0,1,true,1,,true,false,Ishwarganj Bisweswari Govt. Pilot High School,false,,true,true,true,,,6
38942,136432,false,,14,1,1,1,1,3,1,1,1,1,1,1,1,0,1,true,400,true,,true,10,0,2,2,true,1,,true,false,HEED INTERNATIONAL SCHOOL,false,,true,true,true,,,1
38943,126876,true,50,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,1,0,true,1,,true,false,Baya School and College,false,,true,,true,,,3
38944,0cdd4a42-1930-4c41-9602-94bc5acdeec7,false,,13,0,0,0,1,1,0,0,1,1,4,1,1,0,0,true,1000,false,false,false,,,0,0,false,,false,false,false,00,false,,true,true,true,,,1
38945,205165021,true,20,19,0,0,0,1,1,0,1,0,1,1,0,0,0,0,false,,false,false,false,,,1,1,false,,false,false,true,Center 2/629,false,,false,,,,,1
38946,605883021,true,5,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,false,,false,false,false,,,0,0,false,,false,false,false,শ্রীমঙ্গল আনোয়ারুল উলুম ফাজিল মাদ্রাসা,true,19,false,,,,,3
38947,114811,true,30,16,0,1,0,1,1,0,0,1,2,0,0,0,0,0,true,2200,true,,false,,,1,1,true,2,,false,false,Bagerhat Kamil Madrasah,false,,true,true,true,,,4
